tenure_months,monthly_spend,support_tickets_90d,logins_per_month,on_discount,monthly_contract,churned
72.0,32.39,0,9.0,0,1,0
15.0,54.67,1,8.0,0,0,0
31.0,35.87,0,6.0,0,0,0
6.0,53.27,0,6.0,1,0,1
23.0,51.81,2,6.0,0,0,0
64.0,46.24,2,7.0,0,0,0
59.0,59.3,1,6.0,0,1,0
31.0,16.73,4,21.0,0,1,0
9.0,25.83,3,29.0,1,1,0
45.0,40.14,0,28.0,1,1,0
4.0,19.02,0,2.0,0,0,1
9.0,37.68,0,6.0,0,0,1
19.0,38.26,3,2.0,0,1,0
4.0,68.57,0,29.0,0,0,0
13.0,47.57,0,11.0,0,0,0
35.0,63.53,3,15.0,1,1,0
11.0,50.43,1,8.0,0,1,0
36.0,35.36,0,8.0,0,1,0
72.0,47.41,0,18.0,0,0,0
27.0,58.13,0,9.0,0,0,0
36.0,66.48,1,9.0,1,0,0
46.0,42.62,2,14.0,0,0,0
14.0,15.34,2,13.0,1,0,0
35.0,14.08,0,9.0,0,0,0
14.0,39.12,2,6.0,1,1,1
25.0,5.0,0,6.0,0,1,0
39.0,77.31,3,17.0,0,1,0
10.0,55.74,2,10.0,0,0,1
1.0,33.56,1,5.0,0,1,1
9.0,25.03,2,16.0,0,1,1
43.0,63.51,2,9.0,0,0,0
8.0,24.95,1,2.0,0,1,1
41.0,26.67,1,5.0,1,0,0
9.0,31.21,2,9.0,1,1,0
17.0,47.05,2,2.0,1,1,0
20.0,56.17,4,11.0,1,1,0
8.0,66.47,0,12.0,1,0,0
17.0,63.81,1,16.0,0,1,0
4.0,45.01,0,10.0,1,1,0
15.0,63.37,2,5.0,0,0,0
19.0,32.92,2,2.0,0,1,0
1.0,12.22,0,2.0,0,1,0
9.0,32.92,0,8.0,0,1,0
25.0,30.49,1,8.0,0,0,1
7.0,33.62,2,2.0,0,0,0
28.0,27.73,2,11.0,1,1,1
30.0,36.7,1,6.0,1,0,0
25.0,56.16,1,4.0,0,1,1
35.0,75.87,4,3.0,0,1,0
4.0,13.94,1,21.0,0,1,0
40.0,21.82,0,2.0,0,0,0
8.0,30.75,0,25.0,0,0,0
22.0,58.78,2,4.0,0,0,0
63.0,41.31,2,26.0,1,1,0
15.0,31.97,2,2.0,0,0,1
20.0,57.9,1,11.0,0,1,0
8.0,62.22,0,19.0,0,1,0
62.0,44.66,1,19.0,0,0,0
9.0,30.31,0,11.0,0,0,0
32.0,49.87,0,10.0,0,0,0
46.0,40.8,1,3.0,1,0,0
34.0,40.66,1,16.0,0,0,0
26.0,35.78,1,18.0,0,1,0
21.0,61.65,1,9.0,0,0,0
6.0,49.5,2,10.0,1,1,0
61.0,63.64,3,38.0,0,1,0
24.0,69.05,6,3.0,1,1,0
20.0,53.26,3,11.0,1,0,1
7.0,35.88,1,15.0,1,1,1
21.0,63.73,1,2.0,1,0,0
19.0,53.38,1,2.0,0,0,1
63.0,91.86,1,5.0,0,1,0
20.0,50.58,1,5.0,1,0,0
21.0,57.56,0,5.0,0,0,0
7.0,50.23,0,5.0,1,1,0
11.0,43.22,4,6.0,1,1,1
29.0,40.34,0,9.0,0,0,0
3.0,50.3,2,4.0,0,1,1
40.0,54.38,2,7.0,0,1,0
40.0,65.78,0,9.0,0,0,0
10.0,50.56,1,6.0,0,1,1
26.0,36.67,3,11.0,0,1,0
47.0,39.12,0,20.0,1,1,0
18.0,21.19,1,3.0,1,1,0
15.0,74.9,2,4.0,0,1,0
17.0,35.26,1,14.0,1,1,0
24.0,62.41,2,10.0,0,0,0
12.0,49.98,1,15.0,0,0,1
14.0,50.47,1,13.0,1,1,0
25.0,42.89,0,5.0,1,0,0
13.0,30.82,1,21.0,0,1,0
7.0,27.57,1,22.0,0,1,0
3.0,76.11,1,4.0,0,0,0
20.0,47.05,4,20.0,1,0,0
45.0,65.25,0,21.0,0,0,0
27.0,69.93,0,26.0,0,0,0
7.0,37.6,2,14.0,1,0,0
10.0,52.62,1,7.0,0,1,0
15.0,45.81,1,5.0,0,1,1
64.0,24.17,0,7.0,0,1,0
66.0,41.66,1,3.0,0,0,0
61.0,55.58,3,12.0,0,1,0
22.0,36.02,1,8.0,0,1,0
72.0,39.15,0,3.0,0,0,0
11.0,41.88,1,5.0,0,0,0
15.0,83.01,2,19.0,0,1,0
38.0,11.99,0,12.0,0,1,0
25.0,54.03,2,5.0,1,0,0
26.0,40.44,0,25.0,1,0,0
8.0,33.47,1,11.0,0,0,0
19.0,40.0,2,3.0,0,1,0
11.0,57.01,3,7.0,0,1,0
6.0,58.04,2,3.0,0,1,0
12.0,48.35,1,21.0,0,0,0
25.0,64.67,3,15.0,0,0,0
33.0,67.84,1,5.0,1,0,0
3.0,59.69,1,2.0,0,1,0
20.0,35.17,0,15.0,1,1,0
18.0,53.9,0,10.0,0,0,0
24.0,53.99,1,19.0,0,0,0
7.0,30.32,2,1.0,0,1,1
7.0,16.75,2,14.0,1,0,0
46.0,8.59,1,8.0,0,1,0
10.0,46.26,0,32.0,0,0,0
14.0,50.36,1,3.0,0,0,0
16.0,23.73,1,16.0,0,1,0
11.0,63.83,1,14.0,1,0,0
28.0,47.74,0,3.0,1,1,0
27.0,69.29,0,7.0,0,1,0
18.0,51.67,0,13.0,0,0,1
12.0,25.81,2,5.0,1,0,0
17.0,53.25,1,5.0,1,1,0
21.0,57.06,4,17.0,1,0,0
10.0,35.14,0,27.0,0,1,0
30.0,19.04,1,16.0,1,0,0
40.0,46.81,0,3.0,1,1,0
52.0,26.98,1,0.0,0,1,0
49.0,65.18,2,4.0,1,1,1
15.0,37.67,0,14.0,0,0,0
22.0,76.04,1,15.0,0,0,1
18.0,6.77,0,7.0,0,1,0
17.0,47.43,4,4.0,0,0,0
17.0,70.73,1,7.0,0,1,1
20.0,28.97,3,2.0,0,1,1
44.0,42.13,4,0.0,1,1,0
25.0,37.75,1,11.0,0,0,0
7.0,32.69,0,10.0,0,1,0
38.0,49.4,2,3.0,0,1,1
23.0,21.68,0,16.0,0,0,0
29.0,43.0,3,9.0,1,1,0
25.0,54.29,1,5.0,0,1,1
26.0,41.13,0,11.0,0,0,0
27.0,27.0,2,31.0,0,0,0
3.0,63.54,0,2.0,1,1,0
28.0,58.14,0,33.0,0,1,0
11.0,26.26,1,9.0,1,0,0
13.0,21.71,0,13.0,0,1,0
20.0,27.87,0,14.0,1,0,0
57.0,54.81,1,5.0,0,1,1
8.0,49.96,0,7.0,1,0,0
19.0,59.22,2,21.0,0,1,0
16.0,39.13,2,23.0,0,1,0
38.0,28.35,0,8.0,0,0,0
16.0,61.54,1,28.0,0,1,0
24.0,35.04,1,8.0,0,0,1
8.0,48.36,0,15.0,0,0,0
42.0,17.1,0,5.0,1,0,0
5.0,34.74,0,15.0,0,1,0
28.0,63.17,0,7.0,0,0,0
24.0,32.11,1,37.0,1,1,0
26.0,59.66,2,12.0,1,1,0
5.0,5.0,0,26.0,0,1,0
16.0,34.93,2,10.0,0,0,0
37.0,41.92,0,9.0,0,1,0
63.0,76.37,2,10.0,1,1,0
18.0,23.96,3,30.0,0,1,0
34.0,57.08,1,6.0,0,1,0
22.0,64.02,1,36.0,1,0,0
19.0,32.01,4,17.0,0,1,0
14.0,38.28,0,29.0,1,0,0
20.0,47.55,1,4.0,1,1,0
32.0,18.33,0,15.0,1,0,0
34.0,36.81,1,21.0,0,1,0
6.0,67.97,0,22.0,0,1,0
13.0,54.41,3,15.0,0,1,0
8.0,42.18,2,7.0,0,0,0
21.0,47.04,3,7.0,0,0,1
15.0,55.46,1,6.0,0,1,0
26.0,58.9,0,11.0,0,1,0
27.0,34.98,0,10.0,0,1,0
2.0,72.62,1,7.0,0,1,1
20.0,68.69,2,8.0,0,0,0
45.0,57.19,2,9.0,0,1,0
13.0,29.83,3,1.0,0,1,0
13.0,26.64,2,7.0,0,0,1
39.0,39.12,0,6.0,1,1,0
35.0,46.09,1,4.0,1,1,0
9.0,13.17,1,4.0,1,1,0
33.0,53.9,2,7.0,1,0,0
10.0,68.17,0,12.0,0,0,0
13.0,55.38,0,12.0,0,0,0
9.0,32.83,0,13.0,1,0,0
6.0,30.7,1,12.0,1,1,0
22.0,50.4,1,6.0,0,1,0
5.0,42.24,0,4.0,1,1,1
22.0,52.97,2,4.0,1,1,0
22.0,55.83,0,9.0,1,0,0
18.0,64.65,1,10.0,0,1,0
14.0,24.62,3,16.0,0,1,1
12.0,48.99,2,22.0,0,1,0
8.0,38.46,2,7.0,0,0,1
52.0,43.22,1,10.0,0,0,0
17.0,60.56,1,14.0,0,0,0
17.0,62.52,0,9.0,1,1,0
9.0,70.17,0,5.0,0,0,0
48.0,52.66,0,5.0,0,0,0
12.0,43.02,0,17.0,0,0,0
24.0,40.45,0,7.0,1,0,0
27.0,13.77,1,8.0,1,1,0
22.0,69.12,2,1.0,0,0,0
5.0,39.21,1,20.0,0,0,0
32.0,54.11,1,14.0,0,1,1
12.0,57.22,2,3.0,0,1,1
35.0,22.58,1,13.0,1,1,0
19.0,28.38,2,13.0,1,0,0
29.0,72.85,3,26.0,0,1,0
46.0,50.23,2,5.0,0,0,0
31.0,34.55,1,12.0,0,0,0
29.0,42.73,0,6.0,0,1,1
33.0,64.55,1,6.0,0,0,0
10.0,61.82,2,23.0,0,1,0
36.0,18.61,2,17.0,1,1,0
16.0,74.42,3,3.0,0,1,0
17.0,62.39,1,2.0,0,0,1
21.0,42.26,2,13.0,0,1,0
15.0,23.55,2,8.0,1,1,0
8.0,63.97,1,4.0,1,0,0
20.0,53.58,1,13.0,1,1,0
17.0,18.76,2,12.0,0,0,0
16.0,40.82,2,9.0,0,1,0
19.0,101.27,2,10.0,1,0,0
2.0,45.3,2,5.0,1,1,0
16.0,31.64,0,12.0,0,1,0
50.0,26.85,2,28.0,0,0,0
47.0,76.9,0,3.0,0,0,0
21.0,60.26,0,16.0,0,1,0
20.0,70.33,1,4.0,0,1,0
1.0,49.47,1,15.0,0,0,0
13.0,67.57,1,8.0,0,0,0
33.0,29.73,1,15.0,0,0,0
15.0,47.93,1,3.0,0,1,0
41.0,50.17,1,1.0,0,1,0
39.0,69.88,0,10.0,0,0,0
13.0,50.74,1,16.0,0,1,0
22.0,33.74,1,10.0,0,1,0
53.0,46.15,0,14.0,0,0,0
5.0,14.82,1,6.0,0,1,0
15.0,5.0,0,14.0,0,1,0
5.0,59.96,3,23.0,0,0,0
9.0,38.25,2,6.0,0,0,1
63.0,40.29,2,14.0,1,0,0
15.0,59.96,2,5.0,1,1,0
3.0,70.15,5,24.0,0,0,1
8.0,54.62,1,3.0,0,0,0
4.0,79.71,1,12.0,0,1,1
22.0,54.05,3,9.0,1,1,0
27.0,50.44,1,6.0,0,0,0
36.0,49.33,2,6.0,0,1,0
31.0,21.86,0,9.0,0,1,0
5.0,62.21,1,22.0,0,0,1
26.0,5.0,3,11.0,0,0,0
18.0,34.45,0,2.0,0,1,0
40.0,45.41,2,2.0,0,0,0
34.0,30.78,1,11.0,0,0,0
68.0,36.87,0,18.0,0,0,0
9.0,78.11,3,5.0,1,0,0
8.0,64.87,2,10.0,0,1,1
13.0,32.66,1,18.0,0,0,0
18.0,36.55,0,11.0,0,0,1
11.0,22.01,2,10.0,0,1,0
9.0,57.69,0,7.0,1,1,1
25.0,40.5,1,8.0,0,0,0
13.0,9.6,1,14.0,0,1,0
11.0,46.81,1,15.0,1,1,0
5.0,52.9,2,15.0,1,1,1
1.0,62.34,2,5.0,1,0,0
48.0,43.68,1,1.0,0,1,0
47.0,38.29,1,7.0,0,0,0
35.0,80.75,1,16.0,1,0,0
29.0,45.12,0,25.0,0,1,0
12.0,57.95,1,4.0,1,0,0
30.0,35.29,2,14.0,0,1,0
7.0,57.42,1,6.0,1,0,0
21.0,18.8,5,21.0,0,1,0
10.0,36.68,1,16.0,1,0,0
30.0,23.25,2,11.0,1,0,0
55.0,34.11,3,12.0,1,1,0
8.0,67.51,2,20.0,1,0,1
13.0,33.98,2,2.0,1,1,0
21.0,57.93,1,8.0,0,0,0
3.0,72.31,3,4.0,0,1,1
4.0,44.5,1,12.0,1,1,0
54.0,62.89,1,10.0,1,0,0
25.0,54.56,1,11.0,0,1,0
12.0,47.1,2,3.0,0,0,0
19.0,58.51,0,18.0,1,0,1
13.0,78.12,0,15.0,0,0,0
22.0,33.53,0,6.0,1,1,0
14.0,27.73,2,15.0,0,0,0
18.0,26.68,0,1.0,1,0,0
32.0,62.9,2,4.0,0,0,0
31.0,65.33,0,9.0,0,1,0
52.0,35.33,1,7.0,0,1,0
26.0,6.55,3,21.0,0,1,0
20.0,32.85,0,14.0,1,0,0
57.0,54.86,2,23.0,0,1,0
17.0,43.8,1,3.0,0,1,1
2.0,48.25,3,7.0,0,1,0
35.0,35.58,2,4.0,0,1,0
24.0,63.25,1,11.0,1,0,0
20.0,51.18,1,3.0,1,0,0
36.0,55.56,0,10.0,0,0,0
14.0,47.86,0,5.0,0,1,0
2.0,54.44,1,15.0,1,1,0
36.0,53.25,1,9.0,0,1,0
11.0,28.29,2,2.0,0,0,0
8.0,51.72,1,17.0,1,0,0
2.0,59.25,1,17.0,1,1,0
34.0,65.79,0,15.0,0,1,0
1.0,52.49,0,6.0,0,0,1
46.0,27.63,4,13.0,0,0,0
15.0,30.4,0,18.0,1,1,0
35.0,37.17,0,8.0,0,1,1
27.0,48.41,2,8.0,0,1,0
64.0,42.8,0,10.0,0,1,0
26.0,24.77,2,15.0,0,0,0
45.0,24.67,2,11.0,0,0,0
13.0,7.23,2,14.0,1,1,0
4.0,5.0,1,8.0,0,0,1
39.0,42.63,0,8.0,0,1,0
4.0,86.76,0,14.0,0,1,1
34.0,77.34,0,6.0,0,1,0
8.0,27.39,0,4.0,0,1,1
24.0,47.7,3,6.0,0,0,0
65.0,18.64,2,8.0,0,1,0
32.0,21.38,0,9.0,0,1,0
17.0,23.45,0,6.0,0,0,0
27.0,40.94,1,7.0,0,1,0
13.0,41.72,1,12.0,1,1,0
72.0,49.55,2,5.0,1,1,0
11.0,56.94,2,15.0,0,1,0
18.0,38.94,2,5.0,0,1,1
30.0,45.65,4,9.0,0,0,0
26.0,25.31,0,9.0,0,1,0
28.0,20.8,0,20.0,1,1,0
13.0,18.02,5,8.0,0,0,1
16.0,56.69,0,16.0,0,1,0
38.0,38.92,2,14.0,0,1,0
37.0,11.32,2,6.0,1,1,0
26.0,43.86,3,19.0,0,1,0
48.0,22.52,1,6.0,1,0,0
39.0,74.89,4,7.0,1,1,0
36.0,34.58,1,12.0,0,1,0
4.0,57.27,0,7.0,0,1,0
26.0,64.6,4,3.0,0,0,0
23.0,27.81,0,7.0,0,1,0
53.0,46.37,0,7.0,0,1,0
18.0,54.96,1,4.0,0,1,0
21.0,47.08,0,9.0,1,1,0
7.0,51.5,1,9.0,1,1,0
9.0,21.07,1,12.0,0,1,0
